sample_id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,label
0,51.56724987,288358.4,,1.855899851,201.4601694,6.582260591,-0.516321231,5.63677E+11,222221.2109,2.0028E+14,0.638620149,374.1281105,,23.29601985,1.770835314,,-1.97001E+13,78237.33069,,21.09357932,1980,306213.9083,-0.014424575,281.4340552,,149363.6976,29204.70046,14.71416707,362.3126795,0.715166876,-17.37326481,88.91918298,44,18.83652755,0.423301859,13.29311463,-1.06804E+13,161975.0491,11.85954312,-766573330.8,78871.4289,123.6676314,-3636982363,-722077.4239,17.04458159,-0.575583512,16.79440381,488956.8316,656991837.4,54.37603595,0.202901553,2.92296E+12,,1.133668884,288358.4,326695.7585,11.33558584,0,-28931.17237,2.739276881,72954675.2,69954.55745,0.101587489,326.349581,1126.4,,-3.62878E+12,190.2192255,130170.9474,326272.7927,221.2505599,1.077478693,3380545.557,,0.870692394,,10.76401161,0,4505.6,1.20491E+15,0.88,55.11553639,29717680229,0.514099895,,0.000112062,5.96002E+12,1.5325E+11,18022.4,162326320.3,560163.8875,-2.36496E+13,,,-8349021.832,71.19527555,-806627.1043,-14.70189125,31459.62814,254.5820336,0,-201450635.9,159.2993498,0.603211471,,-5.256074689,180.9773101,4
1,63.80487396,288358.4,1.10680249,1.050386639,391.6053751,13.32343925,4.662871314,,-144247.3576,2.60189E+15,1.086144611,326.1336928,418722.2723,-5.30186405,-19.50980229,1.100303136,-1.98599E+13,36117.88836,500219.2489,1.286744821,1980,55618.94945,1.030204553,,1.487198622,33158.40381,,-4.920181182,497.755507,0.318071658,-1.842128377,84.15825624,44,7.274291373,0.325507795,25.33663175,-9.28829E+12,754753.236,5.092253588,-4106938774,270770.1327,195.6308756,,453473.1271,23.29409546,0.027374251,4.502489105,593479.3758,572692599.2,16.5012958,2.274495285,-9.63437E+14,2683.706182,0.439209333,288358.4,253025.2387,6.954949725,0,139981.856,-0.837176476,72954675.2,247821.2503,0.078420286,263.0666079,1126.4,11,4.03291E+13,159.50704,109253.6167,190810.7675,168.407363,1.053339004,-11567871.52,0.905042844,0.589024257,576.8661506,5.763207652,0,4505.6,3.4924E+15,0.88,5.980508078,3665765546,1.058720228,-5.45632E+13,-0.009153128,3.07269E+12,-2.15406E+11,18022.4,-242828676.2,,1.52712E+13,1126.4,126615.2655,-3733148.807,150.1134668,965890.7888,-8.959939877,42830.52686,270.5807788,0,-1534970109,,0.506219985,0.552654054,16.50595155,314.7832631,5
2,49.13852695,288358.4,1.11164904,0.767126838,130.7080672,6.485547005,5.696815199,5.4746E+11,-428840.327,1.36337E+14,1.081780315,219.9691197,591600.6483,79.067568,40.61648202,1.064198215,-1.7809E+13,80189.87781,501687.4087,4.12665268,,,,289.22369,0.001582831,130141.6643,25980.62516,58.40498584,309.3880476,0.676753892,57.99354198,42.28961861,44,53.47336218,0.852904205,48.85451384,6.34216E+12,283984.4071,11.41788486,974084770.2,526446.4312,,3286440016,-320194.4308,56.42166515,-0.22349952,89.68578393,699063.2962,-406255082.3,31.18709811,0.765479499,3.3703E+15,408740.9755,2.009177972,288358.4,130917.6587,0.780824918,0,-107999.8621,46.81895102,72954675.2,-129230.2007,1.42562232,277.2877013,,11,-1.88339E+13,186.1373488,471631.0887,23915.91914,210.1705725,0.126421815,3147729.42,0.125307638,0.332271431,646.2780028,60.31385255,0,4505.6,-5.28674E+15,0.88,-8.408136586,2346113619,0.860641931,-1.63806E+14,0.004483695,7.42141E+11,-36012407469,,-365943063.7,324528.4143,3.02887E+11,1126.4,521631.4397,-8606245.062,113.3704187,573317.6579,32.15966688,249963.2418,160.2070674,0,799834524.8,112.6326385,0.080099504,0.235920301,64.70758136,183.3046103,2
3,,288358.4,1.109168509,,258.5210761,0.716737178,23.23846148,-3.53989E+11,,-1.33863E+15,1.065701189,211.9317936,31913.33599,38.36849707,15.12930983,1.072051859,-3.85944E+13,56962.80243,,11.52196537,1980,48570.26509,-0.042515307,379.6607648,0.108884272,111459.877,73669.71227,,450.0520277,0.548168058,-1.254284199,101.6104589,44,-8.18696793,0.14893835,8.887644447,-6.31487E+12,775776.1629,29.63305659,-223480926.4,430018.6863,197.5757068,5854595481,-2145647.581,28.11692841,-1.411620515,24.15033585,95616.76009,355638175.6,44.28376275,0.873804079,4.81979E+15,40226.1095,0.709096706,288358.4,116720.78,2.025956356,0,18866.84521,21.36506786,72954675.2,1089225.637,0.466193993,207.8357216,1126.4,11,-1.82775E+13,196.097348,101919.1307,477515.3221,184.4188215,0.092571764,6007535.342,0.886133299,,,11.92753638,0,4505.6,4.26211E+15,0.88,15.18920112,-30249250706,1.083505024,,,9.75806E+12,2.07335E+11,,466300537.4,517509.5794,-3.08924E+12,1126.4,584809.5557,5511006.043,134.2141658,842309.2655,1.81580906,125478.2972,196.2232951,0,-92469199.99,138.4314702,2.54878299,1.414809636,-9.662398584,212.3026697,2
4,76.52083097,288358.4,1.113410267,5.795408332,256.0389965,-1.803482668,14.04049464,-1.07101E+11,649972.2666,2.80025E+15,1.071177291,191.657673,494381.2058,63.50408997,43.18625677,,3.03396E+12,56960.89213,152001.5817,17.08871141,1980,362673.0863,-0.042427679,255.1340368,1.44395822,142818.3017,111064.1191,45.72102364,207.6619015,0.030173489,46.47649626,-8.440324646,44,40.43150986,2.579988123,56.62964009,-7.16625E+12,565267.6149,22.22789028,-981435014.4,178477.7961,,5228219792,377942.9483,66.94651877,0.6035045,29.34606727,682728.7899,-12510640.15,21.50285586,5.073628112,-4.10194E+14,,0.992280829,288358.4,107884.6044,20.11327244,0,-28670.33901,37.20829986,72954675.2,-19764.14894,,,1126.4,,-5.31075E+12,156.7023032,,761314.1796,67.03411125,0.07958272,6959102.565,1.520031736,0.799117264,597.3029398,40.09106206,0,4505.6,-5.23428E+14,0.88,110.7668823,-60330415344,1.697959648,1.40652E+13,0.032463371,,-17544224791,18022.4,-177142253.8,40515.18916,-6.97363E+12,1126.4,136345.3652,1325283.352,135.6720837,657832.197,40.62390417,186266.423,179.083883,0,-679635050.6,259.8587396,0.337643181,0.228831952,59.73306947,135.5412332,2
5,69.38270767,288358.4,1.104776532,,305.6980442,13.08362527,1.245861564,,,-1.4816E+14,1.080855058,,505905.3483,12.79857805,9.889140925,1.079944288,-1.67186E+13,99362.06819,262170.5213,31.11285638,1980,459695.2141,1.976526054,365.602158,1.115839906,258148.0934,125970.0935,-27.8970899,396.6692441,0.045069677,-8.505478038,63.45057657,44,6.283735411,3.200922627,22.1183637,1.34744E+13,512983.2394,11.10788515,1317519374,,213.1605022,2270934432,-1338731.219,28.46762789,-0.684853172,-2.538105096,,,-41.13394296,1.0824981,-4.31668E+14,606075.9675,0.794305147,288358.4,428872.6551,-27.84751545,0,-38278.48098,-3.309074141,72954675.2,119241.546,0.204676955,,1126.4,11,3.60069E+12,88.73325507,160366.6892,328640.488,100.5178461,1.068312986,11209817.62,0.402576517,0.943443919,395.116601,27.12071468,0,4505.6,-4.19317E+15,0.88,,-2338554393,,-7.81833E+13,0.004866444,,-16502506013,18022.4,-149727781.4,275005.2773,-4.3312E+12,1126.4,617015.0517,21382916.25,144.1870643,-256981.8262,-8.204196463,213691.0305,174.1395062,0,-508552566.6,77.98716901,,0.453294659,-6.270081024,187.442222,5
6,52.02835017,,1.103117418,1.547828124,209.218614,1.852463541,7.632214349,-5.94573E+11,-60071.82736,1.95807E+15,0.487218023,326.6772956,451021.0001,20.71157245,21.76154837,0.995589274,4.05343E+13,35376.29683,422064.6978,9.810141416,1980,242153.289,0.012016483,339.7750695,3.43677213,216480.8678,143336.5782,17.80644506,326.6726489,0.221902556,3.692791117,50.20548384,44,40.05992316,4.569995409,20.01393018,-1.9219E+13,741111.4056,16.8164729,268636399.8,165088.4988,175.0242983,-801363607.8,-1814109.677,50.54110856,-0.478165821,13.44494377,579644.2177,-53244449.89,12.17612797,0.078002093,4.18083E+15,476040.3153,0.499325525,288358.4,219921.6625,17.72961118,0,-28576.24255,24.69644568,,64251.78453,3.523044885,349.1935883,,11,6.49572E+12,117.372931,355482.8196,744460.2625,254.6387791,0.093233271,-8510075.97,0.447313224,0.131557739,343.4471067,14.54506955,0,4505.6,-2.59378E+15,,-7.102229311,-24135721072,0.390175998,-7.59274E+13,0.010530574,31264563687,-40851183583,18022.4,478483301,479078.6237,6.23616E+12,1126.4,,-3144502.23,140.1451899,-380305.6008,10.41419909,,363.8022361,0,-162793003.7,160.9691448,0.397301019,1.46280424,-12.76100571,241.7601878,2
7,73.83668243,288358.4,1.107633509,0.633408002,184.5618278,12.5619859,-0.905920701,4.43568E+11,-284754.6744,-2.43398E+15,1.085257626,362.3710333,157460.0654,0.918927268,13.70968962,0.072641682,-2.66409E+13,97058.43962,156777.7784,13.90849462,1980,450306.3794,0.04145133,246.0073361,0.339016841,100694.9857,44760.56541,-4.719689222,111.8762582,1.722417539,3.842798934,121.0813387,44,-8.147942405,0.532222361,-10.21780366,-1.76313E+13,124519.2919,18.01309542,622714148.9,166055.9924,160.3106737,-3874301191,-704486.3088,29.72680118,0.079192978,35.48825296,306279.8229,162918913.5,-36.75659346,0.837770106,,90767.99823,1.656555967,288358.4,371535.4582,20.84966728,0,-58377.6967,-25.29365469,,900093.9075,,,1126.4,11,-1.26245E+13,135.5813701,210297.0511,450801.8941,59.84745217,1.077978096,5265185.208,0.241352416,0.012276677,407.7006627,11.10131769,0,4505.6,-8.52356E+13,0.88,-89.90989432,-3521011128,0.464559042,1.22913E+14,0.015970939,1.2591E+13,-15322894412,18022.4,-528769602.1,158470.5383,6.00585E+12,1126.4,407938.8917,6186445.603,135.1334537,-867662.026,-10.08547569,126283.1483,244.028825,0,533595943.9,241.4523234,0.644559486,0.701914952,7.404277504,50.24761947,3
8,112.0472228,288358.4,1.102054073,,194.1994673,22.00642215,-17.00117944,1.10223E+11,-145636.4213,1.01921E+15,1.051318841,253.322223,324939.7307,4.587783599,6.838336488,0.058804232,8.61757E+12,85414.12551,223733.6636,45.75961457,1980,263820.662,-0.005508726,,0.232257397,16119.70745,1922.131987,17.41583231,326.039908,0.127433961,-10.14583116,1.746455206,44,-17.85521861,1.083423694,-0.607519101,-3.15797E+12,767497.8469,,959703161.3,156775.2348,230.207519,-1717362541,427119.104,26.68215483,-0.870100273,17.68304538,5851.455718,161856357.2,-26.89356331,0.104533873,-2.66304E+15,109767.7019,0.246570583,288358.4,348344.5423,19.44497181,0,-80870.2306,24.47894204,,15579.10479,0.915152778,317.0565404,1126.4,11,-2.03698E+13,45.17232192,477326.4368,119785.2469,260.1899309,1.025590122,1824905.752,0.94532703,0.094060806,664.8987799,-15.89186927,0,4505.6,,0.88,20.14614446,40335782825,0.268916614,1.02041E+13,-7.55E-05,,-26135981546,18022.4,-249153572.3,177934.3946,3.0715E+12,1126.4,634116.924,4355887.033,130.2166606,41255.46082,8.105604812,250790.0918,267.2767242,0,-271268594.3,209.9153017,1.586125061,3.630870304,4.044244593,319.8087627,0
9,65.01815139,288358.4,1.103728047,4.751556355,158.1415087,21.13976938,-11.4397777,-4.53298E+11,-428159.4668,-1.4093E+14,1.042729345,,339343.3261,0.749093595,-3.717364902,0.085631659,-1.12261E+13,,129237.1162,64.02956365,1980,205481.8943,-0.030783463,235.43104,0.26548419,,,-1.020402328,352.9180578,1.000271652,,113.540645,44,2.443985608,0.787151402,37.5582107,1.30009E+13,347466.328,15.01031625,19959939.52,53219.39882,158.9207757,-1891353490,1306041.059,25.696876,0.516052054,10.24843914,94027.21796,16250093.5,,4.791483862,-5.60492E+15,243748.798,1.025702643,,268536.9902,,0,66706.64523,7.450459096,72954675.2,-784384.1756,1.667359136,199.5306389,1126.4,11,1.09056E+13,149.9631271,276846.6169,739141.3867,78.33018668,1.073297181,-2559310.803,0.704706354,0.527321857,391.7271869,5.978796323,0,4505.6,-4.55628E+15,0.88,47.11289861,-15907231528,0.200884384,-6.56673E+13,-0.00543224,-4.54676E+12,2.13888E+11,,336876333.8,595398.3273,1.4937E+13,1126.4,495348.6129,-20598294.32,,-954479.4825,-21.02472344,207157.9255,,0,-239481236.6,266.364879,2.107070871,1.892996053,-15.44745377,128.763729,0
